GRB110212550	2011-02-12	13:12:33.52	0.064	0.036	6.35E-07	1.23E-08	7.06E-02	7.36E-03	7.36E-03	4.76E+02	7.28E+01	7.28E+01	-4.48E-01	1.13E-01	1.13E-01	-3.61E+00	4.11E+00	4.11E+00	319.3059	-33.5579	5.15E-06	4.54E-07	6.54E-07	5.77E-08
GRB190921699	2019-09-21	16:45:55.13	22.272	1.28	2.58E-06	2.38E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	324.9069	-47.3966	-99.0	-99.0	-99.0	-99.0
GRB211219910	2021-12-19	21:49:46.01	73.729	1.81	7.83E-06	1.20E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	274.1471	-39.2963	-99.0	-99.0	-99.0	-99.0
GRB200803149	2020-08-03	03:34:26.57	118.274	1.145	3.09E-05	3.36E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	332.7296	-36.7561	-99.0	-99.0	-99.0	-99.0
GRB161012637	2016-10-12	15:17:14.85	6.4	3.114	6.14E-07	2.60E-08	1.46E-02	4.97E-03	4.97E-03	4.83E+01	6.23E+01	6.23E+01	-8.24E-01	6.58E-01	6.58E-01	-1.79E+00	1.65E-01	1.65E-01	294.3343	-13.6153	1.68E-07	2.41E-08	6.85E-07	9.84E-08
GRB141221897	2014-12-21	21:31:48.79	32.513	1.846	7.44E-06	7.13E-08	1.37E-02	1.64E-03	1.64E-03	1.61E+02	1.07E+01	1.07E+01	-6.92E-01	8.12E-02	8.12E-02	-3.13E+00	1.97E+01	1.97E+01	287.4821	-20.0919	2.66E-07	2.00E-08	8.93E-06	6.72E-07
GRB150602840	2015-06-02	20:09:18.64	10.496	0.724	4.71E-06	3.33E-08	2.31E-02	3.24E-03	3.24E-03	2.03E+02	2.86E+01	2.86E+01	5.95E-03	1.16E-01	1.16E-01	-2.74E+00	9.58E-01	9.58E-01	320.7306	-27.9263	4.39E-07	2.22E-08	5.82E-06	2.95E-07
GRB091117080	2009-11-17	01:55:24.90	113.664	2.36	3.68E-06	4.23E-08	7.73E-03	2.55E-03	2.55E-03	7.82E+01	2.19E+01	2.19E+01	-1.02E+00	2.09E-01	2.09E-01	-2.21E+00	2.93E-01	2.93E-01	316.4106	-16.9994	1.25E-07	1.42E-08	3.69E-06	4.21E-07
GRB200809654	2020-08-09	15:41:27.13	17.408	8.838	1.48E-06	5.80E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	301.7977	-43.2565	-99.0	-99.0	-99.0	-99.0
GRB181103046	2018-11-03	01:06:45.61	11.776	3.727	6.05E-07	3.23E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	321.2024	-29.4834	-99.0	-99.0	-99.0	-99.0
GRB110517453	2011-05-17	10:52:35.41	0.576	1.81	9.89E-08	2.34E-08	6.89E-01	4.97E+00	4.97E+00	7.69E+01	3.44E+01	3.44E+01	1.43E+00	2.26E+00	2.26E+00	-1.41E+00	4.82E-01	4.82E-01	321.1881	-29.6535	1.03E-06	1.09E-07	1.97E-07	2.09E-08
GRB200117517	2020-01-17	12:24:06.53	28.416	2.187	4.41E-06	1.17E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	277.9556	-12.6624	-99.0	-99.0	-99.0	-99.0
GRB170304003	2017-03-04	00:04:26.07	0.16	0.315	3.15E-07	1.43E-08	1.26E-01	7.48E-02	7.48E-02	6.23E+01	1.41E+01	1.41E+01	-7.49E-01	4.62E-01	4.62E-01	-2.31E+00	1.31E+00	1.31E+00	316.8524	-38.4408	1.00E-06	1.24E-07	2.56E-07	3.17E-08
GRB140712973	2014-07-12	23:20:51.89	28.16	8.444	5.10E-06	1.50E-07	9.48E-03	1.09E-03	1.09E-03	2.29E+02	2.50E+01	2.50E+01	-8.99E-01	8.95E-02	8.95E-02	-2.60E+00	0.00E+00	0.00E+00	284.7752	-31.3831	3.31E-07	1.62E-08	6.42E-06	3.13E-07
GRB201227635	2020-12-27	15:14:07.42	0.112	0.116	3.43E-06	3.05E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	296.5338	-11.8815	-99.0	-99.0	-99.0	-99.0
GRB210603907	2021-06-03	21:46:28.38	7.936	1.717	6.90E-07	2.14E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	282.7908	-6.8411	-99.0	-99.0	-99.0	-99.0
